Date,Dischage,Name,Station,lon,lat,Basin_Area,Elevation
2015-03-23,12.4,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-03-24,17.2,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-03-25,16.6,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-03-26,14.9,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-03-27,9.29,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-03-28,3.49,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-03-29,2.29,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-03-30,6.54,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-03-31,3.07,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-04-01,2.45,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-04-02,4.28,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-04-03,13.4,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-04-04,15.5,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-04-05,18.4,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-04-06,13.4,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-04-07,10.1,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-04-08,10.1,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-04-09,16.0,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-04-10,14.9,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-04-11,13.4,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-04-12,13.4,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-04-13,13.4,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
2015-04-14,14.3,E14A032_TERSAKAN_Ç._AHMETSARAY,E14A032,35.8875,40.9869,250,758
